,validDate,stoxxId,currency,closePrice,freeFloat,shares,Capfactor
395,20240531,TN204M,TND,96.38,0.2953,35700000.0,
396,20240531,055768,GBP,9.075,1.0,553591720.0,1.0
397,20240531,UTHR,USD,275.13,1.0,46993601.0,1.0
398,20240531,474574,CHF,252.8,0.2745,106691000.0,1.0
399,20240531,686774,HKD,67.95,0.4831,856824500.0,1.0
400,20240531,546955,SEK,253.4,0.6222,533847776.0,1.0
401,20240531,CN0VUO,CNY,3.21,0.5695,1375181566.0,
402,20240531,401190,EUR,64.14,1.0,170600675.0,1.0
403,20240531,668798,NZD,7.99,0.9369,178712819.0,1.0
404,20240531,CN0KZI,CNY,8.18,0.7762,3204484648.0,
405,20240531,687326,AUD,0.615,1.0,2282410989.0,1.0
406,20240531,JP10V4,JPY,2262.0,0.915,271633600.0,1.0
407,20240531,HNI,USD,47.05,1.0,46579442.0,1.0
408,20240531,B1YWXY,EUR,46.1,0.4984,77011844.0,1.0
409,20240531,B0Z6TD,BGN,0.715,0.2761,239646267.0,
410,20240531,TR504T,TRY,38.58,0.3788,259785561.0,1.0
411,20240531,KR01MY,KRW,32800.0,0.781,89400000.0,1.0
412,20240531,GS,USD,456.52,1.0,326112464.0,1.0
