Date;sxxe;sxxt;sxxgt
2011-08-31 00:00:00;75.1387383837;88.5187642153;92.8683914511
2011-09-01 00:00:00;75.1551571274;88.5400871873;92.8908886389
2011-09-02 00:00:00;72.6824943355;85.6235784685;89.8312710911
2011-09-05 00:00:00;69.2378419203;81.6006444276;85.6242969629
2011-09-06 00:00:00;68.5022822054;80.7358794541;84.7131608549
2011-09-07 00:00:00;70.9618100023;83.6358036391;87.7615298088
2011-09-08 00:00:00;71.3361573572;84.0788476118;88.2227221597
2011-09-09 00:00:00;68.5975109185;80.8519711903;84.8368953881
2011-09-12 00:00:00;66.3218730503;78.170015163;82.0247469066
2011-09-13 00:00:00;67.3234164122;79.3498862775;83.2620922385
2011-09-14 00:00:00;68.879913309;81.1860310842;85.1856017998
2011-09-15 00:00:00;70.892851279;83.5599886277;87.6827896513
2011-09-16 00:00:00;71.2343611467;83.9603866566;88.0989876265
2011-09-19 00:00:00;69.2903819;81.745166793;85.8042744657
2011-09-20 00:00:00;70.6268676321;83.3230667172;87.4578177728
2011-09-21 00:00:00;69.4315830953;81.9133813495;85.9842519685
2011-09-22 00:00:00;65.9836469313;77.8454321456;81.7097862767
2011-09-23 00:00:00;66.541884215;78.5017058378;82.3959505062
2011-09-26 00:00:00;68.0162873937;80.2430818802;84.2294713161
2011-09-27 00:00:00;71.4445210652;84.2897081122;88.48143982
2011-09-28 00:00:00;70.8468787968;83.5836808188;87.7390326209
2011-09-29 00:00:00;71.7400584507;84.6403525398;88.8413948256
2011-09-30 00:00:00;70.5250714215;83.2259287339;87.3678290214
2011-10-03 00:00:00;69.1754506945;81.6338134951;85.6917885264
2011-10-04 00:00:00;67.3201326634;79.4446550417;83.3970753656
2011-10-05 00:00:00;69.9701178866;82.5720242608;86.6816647919
2011-10-06 00:00:00;72.1899320264;85.1923805914;89.4263217098
2011-10-07 00:00:00;72.6726430894;85.7609931766;90.0224971879
2011-10-10 00:00:00;74.2948149608;87.6753222138;92.0359955006
2011-10-11 00:00:00;74.1174925295;87.4692001516;91.822272216
2011-10-12 00:00:00;75.907135586;89.5801743745;94.0382452193
2011-10-13 00:00:00;74.8333497521;88.3150113723;92.7109111361
2011-10-14 00:00:00;75.6378681903;89.2603297953;93.7007874016
2011-10-17 00:00:00;74.363773684;87.7937831691;92.1709786277
2011-10-18 00:00:00;74.2324237349;87.6397839272;92.0022497188
2011-10-19 00:00:00;74.6855810593;88.1728582259;92.5646794151
2011-10-20 00:00:00;72.9911667159;86.173237301;90.4724409449
2011-10-21 00:00:00;75.0894821528;88.6514404852;93.0708661417
2011-10-24 00:00:00;76.1567004893;89.9189727066;94.398200225
2011-10-25 00:00:00;75.4802482514;89.1205458681;93.5658042745
2011-10-26 00:00:00;75.2865070765;88.8907316149;93.3183352081
2011-10-27 00:00:00;79.2959642728;93.6244313874;98.2902137233
2011-10-28 00:00:00;78.8756444357;93.1292645944;97.7727784027
2011-10-31 00:00:00;76.4555216235;90.2743555724;94.7694038245
2011-11-01 00:00:00;72.7514530588;85.9007771039;90.1799775028
2011-11-02 00:00:00;73.7070239385;87.0356330553;91.3723284589
2011-11-03 00:00:00;75.6510031852;89.3290371494;93.790776153
2011-11-04 00:00:00;74.1404787706;87.5473843821;91.9122609674
2011-11-07 00:00:00;73.7562801694;87.1943707354;91.5748031496
2011-11-08 00:00:00;74.413029915;87.9738438211;92.3847019123
2011-11-09 00:00:00;72.6824943355;85.9386846096;90.2587176603
2011-11-10 00:00:00;72.6627918432;85.948161486;90.2699662542
2011-11-11 00:00:00;74.774242275;88.445318423;92.9021372328
2011-11-14 00:00:00;73.6840376974;87.1564632297;91.5410573678
2011-11-15 00:00:00;72.6562243457;85.9434230478;90.2699662542
2011-11-16 00:00:00;72.8565330181;86.1803449583;90.5174353206
2011-11-17 00:00:00;71.8714083998;85.0217968158;89.3025871766
2011-11-18 00:00:00;71.5233310347;84.6190295679;88.8863892013
2011-11-21 00:00:00;69.0638032378;81.7356899166;85.8605174353
2011-11-22 00:00:00;68.3413785177;80.8827710387;84.9718785152
2011-11-23 00:00:00;67.2347551965;79.5702236543;83.5883014623
2011-11-24 00:00:00;67.169080222;79.4944086429;83.5095613048
2011-11-25 00:00:00;67.7273175057;80.1554207733;84.2069741282
2011-11-28 00:00:00;70.9946474896;84.0219863533;88.2677165354
2011-11-29 00:00:00;71.4018323318;84.5124147081;88.785151856
2011-11-30 00:00:00;74.436016156;88.1041508719;92.5646794151
2011-12-01 00:00:00;73.8416576364;87.4004927976;91.822272216
