,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight,SEDOL
33482,2023-12-18,2034,TH602I,TH6838010002,STAR PTL.REFN.,TH,THB,60101020.0,1.0,398233294.0,0.0002881570582822685,BD4DC87
33483,2023-12-18,2034,CL00FC,CLP371151059,ENTEL Chile SA,CL,CLP,15102015.0,1.0,486193342.0,0.0003518039433115427,2297628
33484,2023-12-18,2034,HK1AHT,KYG020141019,AK MEDICAL HOLDINGS,CN,HKD,20102010.0,1.0,447258610.0,0.000323631216402053,BFD6SZ0
33485,2023-12-18,2034,CN659J,HK0000255361,GENERTEC UNIVERSAL MED.GRP.,CN,HKD,20101030.0,1.0,567152244.0,0.0004103848791438,BYW7534
33486,2023-12-18,2034,TR00K4,TRABFREN91H5,BOSCH FREN SIST.SANVETC. LTD.,TR,TRY,40101025.0,1.0,167488218.0,0.00012119255954480615,B03MQ37
33487,2023-12-18,2034,TW1AXX,TW0006491004,PEGAVISION,TW,TWD,20102015.0,1.0,571930303.0,0.00041384222800559334,BS65ZK9
33488,2023-12-18,2034,IN218G,INE278Y01022,CAMPUS ACTIVEWEAR,IN,INR,40204025.0,1.0,232121473.0,0.00016796044386943452,BN71Y82
33489,2023-12-18,2034,BR170A,BRRAIZACNPR6,RAIZEN PN,BR,BRL,60102010.0,1.0,1062424886.0,0.0007687585001258947,BL66B27
33490,2023-12-18,2034,TH21MZ,TH0961010Y04,TTW,TH,THB,65102030.0,1.0,368865299.0,0.0002669067128833517,BL8VWT4
33491,2023-12-18,2034,CL00LI,CL0001583070,ENGIE ENERGIA CHILE,CL,CLP,65101015.0,1.0,414940664.0,0.0003002463201882141,BWXTK30
33492,2023-12-18,2034,SA21PU,SA0007879683,ARRIYADH DEVELOPMENT,SA,SAR,35101010.0,0.49,489932705.0,0.0003545097036238122,B128GR7
33493,2023-12-18,2034,TW04LE,TW0002607009,Evergreen Intl,TW,TWD,50206060.0,0.6052046,430689547.0,0.000311642031859955,6324511
33494,2023-12-18,2034,SA25U3,SA14PGMJGG18,AL MOAMMAR INFORMATION SYSTEMS,SA,SAR,10101010.0,0.9626719,499191505.0,0.00036120926544202587,BJMHRH7
