,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB
51020,2023-12-18,1148,CN32Z3,CNE100002FF9,BYXS0X1,CENTRAL CHINA SECS.'A' (CCS),CN,CNY,30202015.0
51061,2023-12-18,1148,CN36PX,CNE100004HT2,BNR4N40,XIAMEN BANK 'A' (CCS),CN,CNY,30101010.0
50983,2023-12-18,1148,CN2P3T,CNE1000016Y6,BFY8HL4,ROSHOW TECHNOLOGY 'A' (CCS),CN,CNY,50202010.0
51015,2023-12-18,1148,CN2VPL,CNE000000LD7,BKM3FW3,Shanxi Coking 'A' (CCS),CN,CNY,60101040.0
50997,2023-12-18,1148,CN34PV,CNE100003LG3,BK71BP7,BEJ.YUANLIU HX. ELTECH. 'A' (CCS),CN,CNY,10102015.0
51404,2023-12-18,1148,CN24BG,CNE100001NN9,B87RSJ4,CHINA INTL.MAR.CTRS. (GP.) 'H',CN,HKD,50206060.0
51054,2023-12-18,1148,CN2LF1,CNE1000022K3,BYQDMK4,KINGCLEAN ELEC.'A' (CCS),CN,CNY,40202025.0
50792,2023-12-18,1148,CN1O7V,US23703Q2030,B953PM3,DAQO NEW ENERGY ADR,CN,USD,55201020.0
51176,2023-12-18,1148,CN30HJ,CNE000001GT1,BF2DZ28,CHONGQING FULING ELEC. PWR A (CCS),CN,CNY,65101015.0
50989,2023-12-18,1148,CN2RH9,CNE100002524,BYYFJT0,Toly Bread 'A' (CCS),CN,CNY,45102020.0
51039,2023-12-18,1148,CN37Z8,CNE100003M36,BK71CZ4,JINGJIN EQUIPMENT INC 'A' (CCS),CN,CNY,50204000.0
51466,2023-12-18,1148,CN8B8Q,BMG0171W1055,BPYM749,ALIBABA PICTURES GROUP,CN,HKD,40301010.0
51413,2023-12-18,1148,CN8BK2,KYG9891U1334,BDDLRK9,ZHONGYU ENERGY HOLDINGS LTD.,CN,HKD,65102020.0
51022,2023-12-18,1148,CN3215,CNE100000K31,BD5LTD4,KEHUA DATA 'A' (CCS),CN,CNY,50202010.0
50975,2023-12-18,1148,CN34CI,CNE100002JV8,BHQPRT5,SHN.MEGMEET ELECT.'A' (CCS),CN,CNY,50202040.0
51026,2023-12-18,1148,CN35BI,CNE1000026H0,BNR4NM8,JINHUI LIQUOR 'A' (CCS),CN,CNY,45101015.0
51032,2023-12-18,1148,CN2SD6,CNE000001261,BD5CG69,Zhongk Sanhuan 'A' (CCS),CN,CNY,50202010.0
51007,2023-12-18,1148,CN2XXV,CNE100000P51,BD73M73,SHENZHEN H & T INTEL. CNTL.'A' (CCS),CN,CNY,10102015.0
51447,2023-12-18,1148,HK00WX,BMG8086V1467,BJVBTY1,SHENZHEN INTL.HDG.,CN,HKD,50206060.0
51422,2023-12-18,1148,CN8EF0,HK0000083920,B3MPN59,SUN ART RETAIL GROUP,CN,HKD,40401010.0
51008,2023-12-18,1148,CN2XZX,CNE1000007X7,BD73L65,BAOWU MAGNESIUM TECHNOLOGY 'A' (CCS),CN,CNY,55102050.0
50982,2023-12-18,1148,CN2PYO,CNE100000049,BD5C9X7,MONTNETS CLOUD TECH. GP. 'A' (CCS),CN,CNY,15102015.0
51090,2023-12-18,1148,CN2TRL,CNE000000ZR7,BD5CBZ3,COFCO BIOTECHNOLOGY 'A' (CCS),CN,CNY,45102020.0
51025,2023-12-18,1148,CN2I5O,CNE000001C99,BP3R5J6,Bright Dairy and Food 'A' (CCS),CN,CNY,45102020.0
51038,2023-12-18,1148,CN3237,CNE000001PN5,BD5LV38,JIANGSU GUOTAI INTL.GP. 'A' (CCS),CN,CNY,55101020.0
50988,2023-12-18,1148,CN32DH,CNE0000006M4,BD5M023,CHINA TUNGSTEN &HIGHTECH 'A' (CCS),CN,CNY,55102050.0
51459,2023-12-18,1148,HK60X4,KYG984191075,BD9GZX7,YIHAI INTL HLDG,CN,HKD,45102020.0
50979,2023-12-18,1148,CN32SW,CNE1000005H4,BD73L43,SHENZHEN TOPBAND 'A' (CCS),CN,CNY,10102015.0
51417,2023-12-18,1148,CN2DCQ,KYG7339A1076,BN6N8J8,RADIANCE HOLDINGS GROUP,CN,HKD,35101010.0
51070,2023-12-18,1148,CN37IR,CNE1000031H0,BFYX667,XIANHE 'A' (CCS),CN,CNY,55101015.0
51030,2023-12-18,1148,CN2RYQ,CNE000001CR4,BD5CBM0,JILIN ELECTRIC POWER 'A' (CCS),CN,CNY,65101015.0
51412,2023-12-18,1148,CN3103,KYG2198S1093,B0M6DX9,CIMC ENRIC HOLDINGS,CN,HKD,60101030.0
51027,2023-12-18,1148,CN2HCU,CNE0000011X1,BD5LSP9,CHN ENERGY CHANGYUAN EL. 'A' (CCS),CN,CNY,65101015.0
50985,2023-12-18,1148,CN329D,CNE1000009J2,BD5LY84,Sanquan Foods 'A' (CCS),CN,CNY,45102020.0
