,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight
177482,2023-12-18,2027,MY40AY,MYL5204OO002,AWANBIRU TECHNOLOGY,MY,MYR,10101010,3.131001283706643e-05
173746,2023-12-18,2027,EG00F9,EGS33321C018,DICE SPORT & CASUAL WEAR,EG,EGP,40204020,3.123379962903001e-05
177409,2023-12-18,2027,MY903W,MYL2127OO008,COMFORT GLOVES,MY,MYR,20102015,3.0719261347749284e-05
177348,2023-12-18,2027,MY17KC,MYL9954OO008,RGT,MY,MYR,50203015,3.056011571593427e-05
176989,2023-12-18,2027,TR903W,TREITFK00018,LORAS HOLDING,TR,TRY,40401010,3.0372786886394406e-05
176962,2023-12-18,2027,TR012N,TREIHYA00015,IHLAS YAYIN HOLDING,TR,TRY,40301030,3.0366779610507065e-05
177528,2023-12-18,2027,EG2073,EGS44012C010,MARIDIVE & OIL SERVICES,EG,USD,60101015,2.988537846858182e-05
177433,2023-12-18,2027,MY606W,MYL9261OO008,GADANG HOLDINGS,MY,MYR,50101010,2.979016271014849e-05
177032,2023-12-18,2027,TR00H1,TREKRON00014,KRON TEKNOLOJI,TR,TRY,15102015,2.924592186456805e-05
177140,2023-12-18,2027,PL11EQ,PLARTFX00011,ARTIFEX MUNDI,PL,PLN,40203045,2.919713876747665e-05
176865,2023-12-18,2027,TR11RD,TREKFIN00037,KAFEIN YAZILIM HIZMETLERI,TR,TRY,10101015,2.908748014966547e-05
177438,2023-12-18,2027,MY211O,MYL4235OO007,LION INDUSTRIES CORPORATION,MY,MYR,55102010,2.8929714663615132e-05
176848,2023-12-18,2027,ET022,TRAVANET91A5,METRO TICARI MALI YATIRIMLAR,TR,TRY,50203000,2.8222182118726446e-05
176930,2023-12-18,2027,TR00I2,TRERTAL00018,RTA LAB BIYOLOJIK,TR,TRY,20102010,2.7673517587682672e-05
173773,2023-12-18,2027,EG20SO,EGS3C161C014,LECICO EGYPT,EG,EGP,50101035,2.7208066474681263e-05
176973,2023-12-18,2027,TR307U,TREGMAT00027,GIMAT MAGAZACILIK SANAYI VE TICARET,TR,TRY,35101010,2.6739185944671616e-05
176998,2023-12-18,2027,TR804W,TREFLAP00011,FLAP KONGRE,TR,TRY,40501015,2.5868831789860738e-05
173766,2023-12-18,2027,EG9047,EGS72AQ1C016,ARAB FOR ASTMGMT.&. DEV.,EG,EGP,35101010,2.4806000377909844e-05
176959,2023-12-18,2027,TR00WG,TRABROVA91S5,YESIL YAPI,TR,TRY,50101010,2.460790882024229e-05
173772,2023-12-18,2027,EG20OK,EGS32221C011,ARAB COTTON GINNING,EG,EGP,55101020,2.391476683139811e-05
176876,2023-12-18,2027,TR00O8,TRAPENGD91A8,PENGUEN GIDA SANAYI,TR,TRY,45102020,2.3863903462460794e-05
177391,2023-12-18,2027,MY50VK,MYL5095OO004,HEVEABOARD,MY,MYR,55101010,2.3815572398830155e-05
177242,2023-12-18,2027,PL90I1,PLPILAB00012,DATAWALK,PL,PLN,10101015,2.315055621320332e-05
177345,2023-12-18,2027,MY24KA,MYQ0163OO004,CAREPLUS GROUP,MY,MYR,20102015,2.187710584772779e-05
173782,2023-12-18,2027,EG5021,EGS694A1C018,ARAB DEVELOPERS HOLDING,EG,EGP,35101010,2.170589055162461e-05
